Table S1.1 Energy levels for the 16O16O X^3\Sigma state v = 0 - 39
     (relative to 16O16O X^3\Sigma state v = 0, N = 1, J = 0)     
==================================================================
    v    N    J    K  Energy(cm-1)    Unc.(cm-1)    Degeneracy
    5   21   20    0   8174.595894      0.002698            41
    5   21   21    0   8176.434537      0.002701            43
    5   21   22    0   8174.253562      0.002698            45
    5   23   22    0   8296.496060      0.002798            45
    5   23   23    0   8298.316434      0.002801            47
    5   23   24    0   8296.117433      0.002798            49
    5   25   24    0   8429.140973      0.002924            49
    5   25   25    0   8430.943259      0.002928            51
    5   25   26    0   8428.726375      0.002925            53
    5   27   26    0   8572.507957      0.003078            53
    5   27   27    0   8574.292293      0.003082            55
    5   27   28    0   8572.057638      0.003079            57
    5   29   28    0   8726.572474      0.003263            57
    5   29   29    0   8728.338967      0.003266            59
    5   29   30    0   8726.086631      0.003263            61
    5   31   30    0   8891.308128      0.003482            61
    5   31   31    0   8893.056863      0.003486            63
    5   31   32    0   8890.786916      0.003483            65
    5   33   32    0   9066.686669      0.003746            65
    5   33   33    0   9068.417712      0.003749            67
    5   33   34    0   9066.130212      0.003746            69
    5   35   34    0   9252.677994      0.004065            69
    5   35   35    0   9254.391399      0.004068            71
    5   35   36    0   9252.086394      0.004066            73
    5   37   36    0   9449.250153      0.004457            73
    5   37   37    0   9450.945963      0.004459            75
    5   37   38    0   9448.623491      0.004457            77
    5   39   38    0   9656.369347      0.004938            77
    5   39   39    0   9658.047596      0.004940            79
    5   39   40    0   9655.707689      0.004938            81
    5   41   40    0   9873.999931      0.005530            81
    5   41   41    0   9875.660647      0.005531            83
    5   41   42    0   9873.303330      0.005530            85
    5   43   42    0  10102.104416      0.006252            85
    5   43   43    0  10103.747621      0.006253            87
    5   43   44    0  10101.372916      0.006252            89
    5   45   44    0  10340.643472      0.007125            89
    5   45   45    0  10342.269184      0.007125            91
    5   45   46    0  10339.877106      0.007125            93
    5   47   46    0  10589.575927      0.008167            93
    5   47   47    0  10591.184159      0.008167            95
    5   47   48    0  10588.774723      0.008167            97
    5   49   48    0  10848.858772      0.009396            97
    5   49   49    0  10850.449534      0.009396            99
    5   49   50    0  10848.022750      0.009397           101
    5   51   50    0  11118.447158      0.010830           101
    5   51   51    0  11120.020459      0.010829           103
    5   51   52    0  11117.576333      0.010830           105
    5   53   52    0  11398.294403      0.012485           105
    5   53   53    0  11399.850247      0.012483           107
    5   53   54    0  11397.388785      0.012485           109
    5   55   54    0  11688.351990      0.014379           109
    5   55   55    0  11689.890380      0.014377           111
    5   55   56    0  11687.411586      0.014379           113
    5   57   56    0  11988.569571      0.016531           113
    5   57   57    0  11990.090509      0.016529           115
    5   57   58    0  11987.594382      0.016531           117
    5   59   58    0  12298.894968      0.018962           117
    5   59   59    0  12300.398454      0.018960           119
    5   59   60    0  12297.884993      0.018962           121
    5   61   60    0  12619.274175      0.021695           121
    5   61   61    0  12620.760208      0.021692           123
    5   61   62    0  12618.229411      0.021695           125
    5   63   62    0  12949.651362      0.024755           125
    5   63   63    0  12951.119938      0.024753           127
    5   63   64    0  12948.571800      0.024756           129
    5   65   64    0  13289.968873      0.028174           129
    5   65   65    0  13291.419988      0.028171           131
    6    1    0    0   8988.620665      0.004041             1
    6    1    1    0   8992.624057      0.003959             3
    6    1    2    0   8990.704416      0.003961             5
    6    3    2    0   9003.975117      0.003939             5
    6    3    3    0   9006.058848      0.003945             7
    6    3    4    0   9004.075840      0.003945             9
    6    5    4    0   9028.218719      0.003918             9
    6    5    5    0   9030.239035      0.003922            11
    6    5    6    0   9028.221314      0.003921            13
    6    7    6    0   9063.174912      0.003891            13
    6    7    7    0   9065.160441      0.003895            15
    6    7    8    0   9063.116342      0.003893            17
    6    9    8    0   9108.857985      0.003865            17
    6    9    9    0   9110.817033      0.003870            19
    6    9   10    0   9108.750122      0.003867            21
    6   11   10    0   9165.264816      0.003846            21
    6   11   11    0   9167.200923      0.003851            23
    6   11   12    0   9165.113056      0.003848            25
    6   13   12    0   9232.387370      0.003842            25
    6   13   13    0   9234.302366      0.003848            27
    6   13   14    0   9232.194634      0.003843            29
    6   15   14    0   9310.214813      0.003859            29
